Big Boi,Boomiverse,10. Made Man (Ft. Killer Mike _ Kurupt)
Anderson .Paak,Malibu,13. Come Down
A$AP Ferg,Still Striving (2017),08 Plain Jane
A Tribe Called Quest,We Got It From Here... Thank You 4 Your Service,09. Mobius
unknown,unknown,01. Look Out For Detox
unknown,unknown,Mask Off RMX_3071836_audiomack
"21 Savage, Offset & Metro Boomin",Without Warning (2017),03 Ric Flair Drip
Binary Star,Masters Of The Universe,18 Glen Close
The Pharcyde,Bizarre Ride II the Pharcyde,12 - Pharcyde - Passing Me By
Black Milk,Glitches in the Break (2014),02 - Dirt Bells
Black Milk,If There's A Hell Below 320,Black Milk - If There's A Hell Below - 07 Story and Her
unknown,unknown,10-black_milk-parallels_(feat_ab)
Bone thugs-n-harmony ,E. 1999 Eternal,08 Tha Crossroads
J. Cole,Born Sinner (Deluxe Edition) [320]/CD1,07 - Runaway
J. Cole,Born Sinner (Deluxe Edition) [320]/CD1,04 - Power Trip (Feat. Miguel)
Denzel Curry,ZUU,5 - AUTOMATIC
Denzel Curry,ZUU,4 - BIRDZ
Freddie Gibbs & Madlib,Bandana,10. Freddie Gibbs & Madlib - Giannis (feat. Anderson .Paak)
Flatbush Zombies,Better Off Dead,02 Nephilim [prod. Erick Arc Elliott]
Wu-Tang Clan,Enter The Wu-Tang 36 Chambers,12 - Wu-Tang Clan - Wu-Tang- 7th Chamber - Part II
DUCKWRTH,The Falling Man,"04. NOBODY FALLS feat. Kiana Ledé, Terrace Martin & Medasin"
DUCKWRTH,The Falling Man,06. SOPRANO
Young Thug,"No, My Name is Jeffery",07. Harambe
YBN Cordae,The Lost Boy,04. Bad Idea (feat. Chance the Rapper)
Vince Staples,Hell Can Wait (2014) 320,01 - Fire
Vince Staples,Hell Can Wait (2014) 320,02 - 65 Hunnid
Travis Scott,ASTROWORLD (FLAC),01. STARGAZING
Travis Scott,ASTROWORLD (FLAC),12. YOSEMITE feat. NAV
Travis Scott,ASTROWORLD (FLAC),15. BUTTERFLY EFFECT
unknown,unknown,01-the_notorious_b.i.g.-juicy
unknown,unknown,10-the_notorious_b.i.g.-notorious_thugs_(ft._bone_thugs_and_harmony)
Smino,Blkswn,18. Amphetamine
Smino,Blkswn,12. Blkoscars (Ft. Jay2)
SiR,November,04. D'Evils
Rich The Kid,The World Is Yours,04. Plug Walk
Rico Nasty & Kenny Beats,Anger Management,03. Hatin
unknown,unknown,02-pusha_t-numbers_on_the_board-whoa
unknown,unknown,11-Joey_Bada-Snakes_Feat_T_nah_Apex_Prod_By_J_Dilla
pro era,PEEP The aPROcalypse final,"01 Like Water  - Capital STEEZ, Joey Bada$$ & Cj Fly (Produced by Statik Selektah)"
outkast,Southernplayalisticadillacmuzik (1994),Southernplayalisticadillacmuzik - 02 - Myintrotoletuknow
maxo kream,Brandon Banks,05 8 Figures
Madvillain,Madvillainy [V0],21 - Madvillain - Great Day
unknown,unknown,05. J. Cole - ATM
Kendrick Lamar,Untitled Mastered,02. Untitled 02 (06.23.2014)
Kendrick Lamar,Untitled Mastered,05. Untitled 05 (09.21.2014)
Kendrick Lamar,Untitled Mastered,07. Untitled 07 (2014 - 2016)
Kendrick Lamar,Untitled Mastered,08. Untitled 08 (09.06.2014)
Kendrick Lamar,DAMN,05. FEEL.
Kendrick Lamar,DAMN,12. FEAR.
Kendrick Lamar,Bad Kid Chill City (EP) (2018) (320kbps),"06. Kendrick Lamar - Heroin (Feat. SZA, Jay Rock, Isaiah Rashad & Ab-Soul)"
Kanye West,Ye,"07. Violent Crimes feat. DeJ Loaf, Nicki Minaj & Willow Smith"
Kanye West,Yandhi (2018) [mp3 V0],10. Denzel Interlude
J.I.D,The Never Story,07. All Bad (Ft. Mereba)
J.I.D,DiCaprio 2,06. Off Da Zoinkys
G.O.O.D. Music,Cruel Summer V0-2012,04 New God Flow
EarthGang,Rags EP,01. Mediate
EarthGang,Rags EP,03. Red Light
Future,Future,17. Feds Did a Sweep
unknown,unknown,THat Part (Black Hippy REMIX)
unknown,unknown,01 - Champions [Explicit]
EARTHGANG,Royalty,01. Cocktail
EARTHGANG,Royalty,02. Skit 1
EARTHGANG,Royalty,03. Build
EARTHGANG,Royalty,04. Nothing but the Best feat. Ari Lennox
EARTHGANG,Royalty,05. Skit 2
EARTHGANG,Royalty,06. Off the Lot feat. Mereba
EARTHGANG,Royalty,07. LOLSMH
EARTHGANG,Royalty,08. Skit 3
Earthgang,Robots (2017),01 - Lyfted Intro
Earthgang,Robots (2017),02 - Artificial
Earthgang,Robots (2017),03 - Robots
Earthgang,Robots (2017),04 - Underwater (feat. Sir)
Earthgang,Robots (2017),05 - So Many Feelings
Earthgang,Robots (2017),06 - Flickted
unknown,unknown,Glorious Thugs
ASAP Ferg,Floor Seats,A$AP Ferg - Floor Seats
ASAP Ferg,Floor Seats,A$AP Ferg - Jet Lag
ASAP Ferg,Floor Seats,A$AP Ferg - WAM
ASAP Ferg,Floor Seats,A$AP Ferg - Ride
Domo Genesis,Genesis,07. Coming Back (Ft. Mac Miller)
Maxo Kream,Punken,"08. Astrodome, Pt. 2"
Maxo Kream,Punken,10. Pop Another
Maxo Kream,Punken,05. Hobbies
Little Simz,GREY Area (2019),08. Therapy
unknown,unknown,Ab-Soul - W.W.S.D.
unknown,unknown,Jay Electronica - better in tune w the infinite ft. LaTonya Givens
